date,country,total.confirmation,X,X.1
20200129,901,0,NA,NA
20200130,901,0,NA,NA
20200131,901,0,NA,NA
20200201,901,0,NA,NA
20200202,901,0,NA,NA
20200203,901,0,NA,NA
20200204,901,0,NA,NA
20200205,901,0,NA,NA
20200206,901,0,NA,NA
20200207,901,0,NA,NA
20200208,901,0,NA,NA
20200209,901,0,NA,NA
20200210,901,0,NA,NA
20200211,901,0,NA,NA
20200212,901,0,NA,NA
20200213,901,0,NA,NA
20200214,901,0,NA,NA
20200215,901,0,NA,NA
20200216,901,0,NA,NA
20200217,901,0,NA,NA
20200218,901,0,NA,NA
20200219,901,0,NA,NA
20200220,901,0,NA,NA
20200221,901,0,NA,NA
20200222,901,0,NA,NA
20200223,901,0,NA,NA
20200224,901,0,NA,NA
20200225,901,1,NA,NA
20200226,901,1,NA,NA
20200227,901,8,NA,NA
20200228,901,8,NA,NA
20200229,901,18,NA,NA
20200301,901,27,NA,NA
20200302,901,42,NA,NA
20200303,901,56,NA,NA
20200304,901,90,NA,NA
20200305,901,114,NA,NA
20200306,901,214,NA,NA
20200307,901,268,NA,NA
20200308,901,337,NA,NA
20200309,901,374,NA,NA
20200310,901,491,NA,NA
20200311,901,652,NA,NA
20200312,901,652,NA,NA
20200313,901,1139,NA,NA
20200314,901,1359,NA,NA
20200315,901,2200,NA,NA
20200316,901,2200,NA,NA
20200317,901,2700,NA,NA
20200318,901,3028,NA,NA
20200319,901,4075,NA,NA
20200320,901,5294,NA,NA
20200321,901,6575,NA,NA
20200322,901,7245,NA,NA
20200323,901,8795,NA,NA
20200324,901,9877,NA,NA
20200325,901,10897,NA,NA
20200326,901,11811,NA,NA
20200327,901,12928,NA,NA
20200328,901,14076,NA,NA
20200329,901,14829,NA,NA
20200330,901,15922,NA,NA
20200331,901,16605,NA,NA
20200401,901,17768,NA,NA
20200402,901,18827,NA,NA
20200403,901,19606,NA,NA
20200404,901,20505,NA,NA
20200405,901,21100,NA,NA
20200406,901,21657,NA,NA
20200407,901,22253,NA,NA
20200408,901,23280,NA,NA
20200409,901,24051,NA,NA
20200410,901,24551,NA,NA
20200411,901,25107,NA,NA
20200412,901,25415,NA,NA
20200413,901,25688,NA,NA
20200414,901,25936,NA,NA
20200415,901,26336,NA,NA
20200416,901,26732,NA,NA
20200417,901,27078,NA,NA
20200418,901,27404,NA,NA
20200419,901,27740,NA,NA
20200420,901,27944,NA,NA
20200421,901,28063,NA,NA
20200422,901,28268,NA,NA
20200423,901,28496,NA,NA
20200424,901,28677,NA,NA
20200425,901,28894,NA,NA
20200426,901,29061,NA,NA
20200427,901,29164,NA,NA
20200428,901,29264,NA,NA
20200429,901,29407,NA,NA
20200430,901,29586,NA,NA
20200501,901,29705,NA,NA
20200502,901,29817,NA,NA
20191210,902,0,NA,NA
20191211,902,0,NA,NA
20191212,902,0,NA,NA
20191213,902,0,NA,NA
20191214,902,0,NA,NA
20191215,902,0,NA,NA
20191216,902,0,NA,NA
20191217,902,0,NA,NA
20191218,902,0,NA,NA
20191219,902,0,NA,NA
20191220,902,0,NA,NA
20191221,902,0,NA,NA
20191222,902,0,NA,NA
20191223,902,0,NA,NA
20191224,902,0,NA,NA
20191225,902,0,NA,NA
20191226,902,0,NA,NA
20191227,902,0,NA,NA
20191228,902,0,NA,NA
20191229,902,0,NA,NA
20191230,902,0,NA,NA
20191231,902,0,NA,NA
20200101,902,0,NA,NA
20200102,902,0,NA,NA
20200103,902,0,NA,NA
20200104,902,0,NA,NA
20200105,902,0,NA,NA
20200106,902,0,NA,NA
20200107,902,0,NA,NA
20200108,902,0,NA,NA
20200109,902,0,NA,NA
20200110,902,0,NA,NA
20200111,902,0,NA,NA
20200112,902,0,NA,NA
20200113,902,0,NA,NA
20200114,902,0,NA,NA
20200115,902,0,NA,NA
20200116,902,0,NA,NA
20200117,902,0,NA,NA
20200118,902,0,NA,NA
20200119,902,0,NA,NA
20200120,902,0,NA,NA
20200121,902,0,NA,NA
20200122,902,0,NA,NA
20200123,902,0,NA,NA
20200124,902,0,NA,NA
20200125,902,0,NA,NA
20200126,902,0,NA,NA
20200127,902,0,NA,NA
20200128,902,0,NA,NA
20200129,902,0,NA,NA
20200130,902,0,NA,NA
20200131,902,1,NA,NA
20200201,902,1,NA,NA
20200202,902,1,NA,NA
20200203,902,1,NA,NA
20200204,902,1,NA,NA
20200205,902,1,NA,NA
20200206,902,1,NA,NA
20200207,902,1,NA,NA
20200208,902,1,NA,NA
20200209,902,1,NA,NA
20200210,902,1,NA,NA
20200211,902,1,NA,NA
20200212,902,1,NA,NA
20200213,902,1,NA,NA
20200214,902,1,NA,NA
20200215,902,1,NA,NA
20200216,902,1,NA,NA
20200217,902,1,NA,NA
20200218,902,1,NA,NA
20200219,902,1,NA,NA
20200220,902,1,NA,NA
20200221,902,1,NA,NA
20200222,902,1,NA,NA
20200223,902,1,NA,NA
20200224,902,1,NA,NA
20200225,902,1,NA,NA
20200226,902,2,NA,NA
20200227,902,7,NA,NA
20200228,902,7,NA,NA
20200229,902,12,NA,NA
20200301,902,14,NA,NA
20200302,902,15,NA,NA
20200303,902,21,NA,NA
20200304,902,35,NA,NA
20200305,902,94,NA,NA
20200306,902,101,NA,NA
20200307,902,161,NA,NA
20200308,902,203,NA,NA
20200309,902,248,NA,NA
20200310,902,355,NA,NA
20200311,902,500,NA,NA
20200312,902,599,NA,NA
20200313,902,814,NA,NA
20200314,902,961,NA,NA
20200315,902,1022,NA,NA
20200316,902,1103,NA,NA
20200317,902,1190,NA,NA
20200318,902,1279,NA,NA
20200319,902,1439,NA,NA
20200320,902,1639,NA,NA
20200321,902,1763,NA,NA
20200322,902,1931,NA,NA
20200323,902,2046,NA,NA
20200324,902,2286,NA,NA
20200325,902,2526,NA,NA
20200326,902,2840,NA,NA
20200327,902,3069,NA,NA
20200328,902,3447,NA,NA
20200329,902,3700,NA,NA
20200330,902,4028,NA,NA
20200331,902,4435,NA,NA
20200401,902,4947,NA,NA
20200402,902,5568,NA,NA
20200403,902,6131,NA,NA
20200404,902,6443,NA,NA
20200405,902,6830,NA,NA
20200406,902,7206,NA,NA
20200407,902,7693,NA,NA
20200408,902,8419,NA,NA
20200409,902,9141,NA,NA
20200410,902,9685,NA,NA
20200411,902,10151,NA,NA
20200412,902,10483,NA,NA
20200413,902,10948,NA,NA
20200414,902,11445,NA,NA
20200415,902,11927,NA,NA
20200416,902,12540,NA,NA
20200417,902,13216,NA,NA
20200418,902,13822,NA,NA
20200419,902,14385,NA,NA
20200420,902,14777,NA,NA
20200421,902,15322,NA,NA
20200422,902,16004,NA,NA
20200423,902,16755,NA,NA
20200424,902,17567,NA,NA
20200425,902,18177,NA,NA
20200426,902,18640,NA,NA
20200427,902,18926,NA,NA
20200428,902,19621,NA,NA
20200429,902,20302,NA,NA
20200430,902,21092,NA,NA
20200501,902,21520,NA,NA
20200502,902,22082,NA,NA
20191210,904,0,NA,NA
20191211,904,0,NA,NA
20191212,904,0,NA,NA
20191213,904,0,NA,NA
20191214,904,0,NA,NA
20191215,904,0,NA,NA
20191216,904,0,NA,NA
20191217,904,0,NA,NA
20191218,904,0,NA,NA
20191219,904,0,NA,NA
20191220,904,0,NA,NA
20191221,904,0,NA,NA
20191222,904,0,NA,NA
20191223,904,0,NA,NA
20191224,904,0,NA,NA
20191225,904,0,NA,NA
20191226,904,0,NA,NA
20191227,904,0,NA,NA
20191228,904,0,NA,NA
20191229,904,0,NA,NA
20191230,904,0,NA,NA
20191231,904,0,NA,NA
20200101,904,0,NA,NA
20200102,904,0,NA,NA
20200103,904,0,NA,NA
20200104,904,0,NA,NA
20200105,904,0,NA,NA
20200106,904,0,NA,NA
20200107,904,0,NA,NA
20200108,904,0,NA,NA
20200109,904,0,NA,NA
20200110,904,0,NA,NA
20200111,904,0,NA,NA
20200112,904,0,NA,NA
20200113,904,0,NA,NA
20200114,904,0,NA,NA
20200115,904,0,NA,NA
20200116,904,0,NA,NA
20200117,904,0,NA,NA
20200118,904,0,NA,NA
20200119,904,0,NA,NA
20200120,904,0,NA,NA
20200121,904,0,NA,NA
20200122,904,0,NA,NA
20200123,904,0,NA,NA
20200124,904,2,NA,NA
20200125,904,3,NA,NA
20200126,904,3,NA,NA
20200127,904,3,NA,NA
20200128,904,4,NA,NA
20200129,904,5,NA,NA
20200130,904,5,NA,NA
20200131,904,5,NA,NA
20200201,904,6,NA,NA
20200202,904,6,NA,NA
20200203,904,6,NA,NA
20200204,904,6,NA,NA
20200205,904,6,NA,NA
20200206,904,6,NA,NA
20200207,904,6,NA,NA
20200208,904,11,NA,NA
20200209,904,11,NA,NA
20200210,904,11,NA,NA
20200211,904,11,NA,NA
20200212,904,11,NA,NA
20200213,904,11,NA,NA
20200214,904,11,NA,NA
20200215,904,12,NA,NA
20200216,904,12,NA,NA
20200217,904,12,NA,NA
20200218,904,12,NA,NA
20200219,904,12,NA,NA
20200220,904,12,NA,NA
20200221,904,12,NA,NA
20200222,904,12,NA,NA
20200223,904,12,NA,NA
20200224,904,12,NA,NA
20200225,904,14,NA,NA
20200226,904,18,NA,NA
20200227,904,38,NA,NA
20200228,904,57,NA,NA
20200229,904,100,NA,NA
20200301,904,130,NA,NA
20200302,904,191,NA,NA
20200303,904,204,NA,NA
20200304,904,285,NA,NA
20200305,904,377,NA,NA
20200306,904,653,NA,NA
